Straßennummer,Straßenname,Ortsbezirk,Stadtteil Name,Stadtbezirk,Stadtbezirksvorst,Schiedsleutebezirk,Sozialrathaus Name,Polizeirevier,Postleitzahl,Address,Latitude,Longitude,class,type
3008,Am Brünnchen,6,Sossenheim,631,6.53,6C,Höchst,17.0,65936,Am Brünnchen 65936 Frankfurt,50.1163666,8.5676441,highway,way
2670,Am Brunnengarten,12,Kalbach-Riedberg,650,12.79,12,Nord,14.0,60437,Am Brunnengarten 60437 Frankfurt,50.1904561,8.6370557,highway,way
3732,Am Bubeloch,8,Heddernheim,431,8.61,8,Nord,14.0,60439,Am Bubeloch 60439 Frankfurt,,,,
2639,Am Buchbaum,13,Nieder-Erlenbach,640,13.8,13,Nord,14.0,60437,Am Buchbaum 60437 Frankfurt,50.2005483,8.7160369,highway,way
93,Am Buchwald,4,Ostend,252,4.25,4,Ost,5.0,60385,Am Buchwald 60385 Frankfurt,50.1235429,8.7165851,highway,way
3215,Am Bürgerbrunnen,13,Nieder-Erlenbach,640,13.8,13,Nord,14.0,60437,Am Bürgerbrunnen 60437 Frankfurt,50.20271775,8.709223558647544,highway,way
94,Am Burghof,10,Bonames,491,10.7,10,Nord,14.0,60437,Am Burghof 60437 Frankfurt,50.1809187,8.662758,highway,way
3137,Am Büttelstück,11,Seckbach,390,11.75,11,Ost,18.0,60388,Am Büttelstück 60388 Frankfurt,50.1386289,8.7305132,highway,way
95,Am Dachsberg,10,Berkersheim,500,10.74,10,Nord,14.0,60435,Am Dachsberg 60435 Frankfurt,50.1672833,8.6943206,highway,way
96,Am Dammgraben,2,Bockenheim,163,2.15,2,Bockenheim,13.0,60486,Am Dammgraben 60486 Frankfurt,50.1105785,8.6321839,highway,way
97,Am Dorfgarten,10,Preungesheim,470,10.73,10,Dornbusch,12.0,60435,Am Dorfgarten 60435 Frankfurt,50.1554688,8.6923506,highway,way
98,Am Dornbusch,2,Westend-Nord,192,2.09,2,Dornbusch,12.0,60320,Am Dornbusch 60320 Frankfurt,50.1386188,8.6701407,highway,way
99,Am Ebelfeld,7,Praunheim,422,7.59,7,Bockenheim,14.0,60488,Am Ebelfeld 60488 Frankfurt,50.1447672,8.6140381,highway,way
100,Am Eckenheimer Friedhof,10,Eckenheim,461,10.72,10,Dornbusch,12.0,60435,Am Eckenheimer Friedhof 60435 Frankfurt,50.1512084,8.6814169,highway,way
2640,Am Eichbaum,13,Nieder-Erlenbach,640,13.8,13,Nord,14.0,60437,Am Eichbaum 60437 Frankfurt,50.20201,8.7150601,highway,way
101,Am Eichenloh,9,Ginnheim,441,9.67,9,Nord,12.0,60431,Am Eichenloh 60431 Frankfurt,50.1397361,8.6470835,highway,way
102,Am Eisernen Schlag,9,Ginnheim,441,9.67,9,Nord,12.0,60431,Am Eisernen Schlag 60431 Frankfurt,50.139648,8.6501691,highway,way
2998,Am Eiswerk,16,Bergen-Enkheim,680,16.83,16,Ost,18.0,60388,Am Eiswerk 60388 Frankfurt,50.1502999,8.7614706,highway,way
103,Am Elektrizitätswerk,1,Gutleutviertel,151,1.04,1,Gallus,4.0,60327,Am Elektrizitätswerk 60327 Frankfurt,50.0981291,8.6515845,highway,way
104,Am Ellerfeld,7,Hausen,410,7.58,7,Bockenheim,11.0,60488,Am Ellerfeld 60488 Frankfurt,50.1346318,8.6279399,highway,way
3394,Am Enkheimer Steg,11,Seckbach,390,11.75,11,Ost,6.0,60388,Am Enkheimer Steg 60388 Frankfurt,50.138418,8.7265272,highway,way
2708,Am Entenpfad,14,Harheim,660,14.81,14,Nord,14.0,60437,Am Entenpfad 60437 Frankfurt,50.1850236,8.6907333,highway,way
105,Am Erlenbruch,4,Bornheim,281,4.24,4,Ost,6.0,60386,Am Erlenbruch 60386 Frankfurt,50.1316606,8.7406402,highway,way
2709,Am Eschbachtal,14,Harheim,660,14.81,14,Nord,14.0,60437,Am Eschbachtal 60437 Frankfurt,50.1856657,8.6937813,highway,way
3610,Am Eschersheimer Abtshof,9,Eschersheim,451,9.65,9,Dornbusch,12.0,60433,Am Eschersheimer Abtshof 60433 Frankfurt,50.1588748,8.6544229,highway,way
107,Am Faulbrunnen,6,Sossenheim,631,6.53,6C,Höchst,17.0,65936,Am Faulbrunnen 65936 Frankfurt,50.1186742,8.5658491,highway,way
3707,Am Felsenkeller,5,Sachsenhausen-S.,332,5.29,5A,Sachsenhausen,8.0,60599,Am Felsenkeller 60599 Frankfurt,50.0980358,8.695813,highway,way
108,Am Fischstein,7,Hausen,410,7.58,7,Bockenheim,11.0,60488,Am Fischstein 60488 Frankfurt,50.1305952,8.62491,highway,way
108,Am Fischstein,7,Bockenheim,343,7.57,2,Bockenheim,11.0,60487,Am Fischstein 60487 Frankfurt,50.1287173,8.6230841,highway,way
109,Am Fischwehr,11,Fechenheim,510,11.77,11,Ost,18.0,60386,Am Fischwehr 60386 Frankfurt,50.1238921,8.7696162,highway,way
3626,Am Flughafen,5,Flughafen,329,5.34,5A,Sachsenhausen,19.0,60549,Am Flughafen 60549 Frankfurt,50.0540704,8.5752451,highway,way
2964,Am Försterpfad,6,Schwanheim,532,6.37,6A,Sachsenhausen,10.0,60529,Am Försterpfad 60529 Frankfurt,50.0783314,8.6039539,highway,way
110,Am Forum,8,Heddernheim,432,8.62,8,Nord,14.0,60439,Am Forum 60439 Frankfurt,50.1542953,8.6386931,highway,way
3336,Am Gabelacker,9,Eschersheim,451,9.65,9,Dornbusch,12.0,60433,Am Gabelacker 60433 Frankfurt,50.1622188,8.6662934,highway,way
2597,Am Galgen (Wohnplatz),11,Seckbach,390,11.75,11,Ost,6.0,60389,Am Galgen (Wohnplatz) 60389 Frankfurt,,,,
